Fre_ch,pwr
1,10.18
2,10.22
3,10.28
4,10.1
5,10.12
6,10.21
7,10.28
8,10.21
9,10.08
10,10.16
11,10.19
12,10.23
13,10.14
14,10.03
15,10.12
16,10.27
17,10.26
18,10.03
19,9.97
20,10.17
21,10.27
22,10.17
23,10.03
24,10.03
25,10.18
26,10.28
27,10.11
28,10.01
29,10.14
30,10.29
31,10.25
32,10.05
33,10.08
34,10.19
35,10.32
36,10.23
37,10.1
38,10.16
39,10.3
40,10.32
41,10.24
42,10.13
43,10.15
44,10.28
45,10.3
46,10.16
47,10.14
48,10.18
49,10.32
50,10.21
51,10.09
52,10.13
53,10.23
54,10.28
55,10.17
56,10.06
57,10.2
58,10.25
59,10.24
60,10.08
61,10.07
62,10.2
63,10.25
64,10.14
65,10.03
66,10.16
67,10.23
68,10.17
69,10.07
70,10.03
71,10.15
72,10.22
73,10.15
74,10.02
75,10.09
76,10.19
77,10.23
78,10.19
79,10.05
80,10.14
