Fre_ch,pwr
1,6.383
2,6.403
3,6.363
4,6.383
5,6.382
6,6.362
7,6.382
8,6.362
9,6.342
10,6.362
11,6.332
12,6.352
13,6.352
14,6.332
15,6.342
16,6.342
17,6.312
18,6.331
19,6.311
20,6.291
21,6.331
22,6.301
23,6.311
24,6.321
25,6.291
26,6.321
27,6.311
28,6.271
29,6.311
30,6.291
31,6.280
32,6.260
33,6.290
34,6.290
35,6.300
36,6.260
37,6.240
38,6.280
39,6.250
40,6.240
41,6.220
42,6.210
43,6.240
44,6.179
45,6.189
46,6.199
47,6.179
48,6.229
49,6.169
50,6.139
51,6.179
52,6.169
53,6.159
54,6.189
55,6.149
56,6.169
57,6.198
58,6.188
59,6.208
60,6.148
61,6.128
62,6.168
63,6.158
64,6.168
65,6.198
66,6.138
67,6.168
68,6.188
69,6.178
70,6.208
71,6.177
72,6.157
73,6.197
74,6.197
75,6.197
76,6.177
77,6.147
78,6.167
79,6.177
80,6.177
